opeid,name,address,city,state,state_desc,zipcode,zipcode_ext,school_type_code,school_type_desc,year_1,year_1_borrowers_in_default,year_1_borrowers_in_repay,year_1_default_rate,year_2,year_2_borrowers_in_default,year_2_borrowers_in_repay,year_2_default_rate,year_3,year_3_borrowers_in_default,year_3_borrowers_in_repay,year_3_default_rate
31505,A - TECHNICAL COLLEGE,1033 SOUTH BROADWAY STREET,LOS ANGELES,CA,CALIFORNIA,90015,3535,3,PrivateForProfit,2013,25,92,27.1,2012,9,33,27.2,2011,11,35,31.4
41495,A & W HEALTHCARE EDUCATORS,6930 MARTIN DRIVE,NEW ORLEANS,LA,LOUISIANA,70126,2923,3,PrivateForProfit,2013,4,31,12.9,2012,5,31,16.1,2011,0,5,0
2477,A. T. STILL UNIVERSITY OF HEALTH SCIENCES,800 WEST JEFFERSON STREET,KIRKSVILLE,MO,MISSOURI,63501,1497,2,PrivateNonProfit,2013,14,837,1.6,2012,15,886,1.6,2011,24,763,3.1
30649,AARON'S ACADEMY OF BEAUTY,11690 DOOLITTLE DRIVE,WALDORF,MD,MARYLAND,20602,2715,3,PrivateForProfit,2013,38,106,35.8,2012,14,36,38.8,2011,18,41,43.9
30651,ABC BEAUTY COLLEGE,"203 SOUTH 26TH ST, SUITE B",ARKADELPHIA,AR,ARKANSAS,71923,4206,3,PrivateForProfit,2013,12,45,26.6,2012,10,52,19.2,2011,8,45,17.7
41833,ABCOTT INSTITUTE,16250 NORTHLAND DRIVESUITE 205,SOUTHFIELD,MI,MICHIGAN,48075,5227,3,PrivateForProfit,2013,28,170,16.4,2012,13,86,15.1,2011,0,0,0
37834,ABDILL CAREER COLLEGE,843 EAST MAIN STREET SUITE 203,MEDFORD,OR,OREGON,97504,7137,3,PrivateForProfit,2013,13,76,17.1,2012,17,82,20.7,2011,23,117,19.6
3537,ABILENE CHRISTIAN UNIVERSITY,1600 CAMPUS COURT,ABILENE,TX,TEXAS,79699,3701,2,PrivateNonProfit,2013,61,1122,5.4,2012,65,1211,5.3,2011,91,1201,7.5
7087,ABINGTON MEMORIAL HOSPITAL DIXON SCHOOL OF NURSING,2500 MARYLAND ROAD SUITE 200,WILLOW GROVE,PA,PENNSYLVANIA,19090,1284,2,PrivateNonProfit,2013,1,107,0.9,2012,6,118,5,2011,2,82,2.4
1541,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,2802 MOORE HIGHWAY,TIFTON,GA,GEORGIA,31793,2601,1,Public,2013,134,979,13.6,2012,158,933,16.9,2011,142,980,14.4
20503,ACADEMY COLLEGE,1600 W. 82ND STREETSUITE 100,BLOOMINGTON,MN,MINNESOTA,55431,1411,3,PrivateForProfit,2013,7,83,8.4,2012,26,123,21.1,2011,35,127,27.5
41043,ACADEMY DI CAPELLI,950 YALE AVENUEUNIT 20 YALE PLAZA,WALLINGFORD,CT,CONNECTICUT,6492,0,3,PrivateForProfit,2013,8,57,14,2012,3,50,6,2011,1,34,2.9
41335,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,305 SE 2ND AVENUE,GAINESVILLE,FL,FLORIDA,32601,6811,2,PrivateNonProfit,2013,2,33,6,2012,2,49,4,2011,2,50,4
33463,ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,5154 OKEECHOBEE BOULEVARDSUITE 201,WEST PALM BEACH,FL,FLORIDA,33417,4574,2,PrivateNonProfit,2013,17,346,4.9,2012,15,340,4.4,2011,15,299,5
41898,ACADEMY FOR SALON PROFESSIONALS,8372 TOPANGA CANYON BOULEVARD,CANOGA PARK,CA,CALIFORNIA,91304,2305,3,PrivateForProfit,2013,9,61,14.7,2012,2,17,11.7,2011,0,0,0
41857,ACADEMY FOR SALON PROFESSIONALS (THE),2238 EL CAMINO REAL,SANTA CLARA,CA,CALIFORNIA,95050,4057,3,PrivateForProfit,2013,5,123,4,2012,2,30,6.6,2011,0,0,0
7531,ACADEMY OF ART UNIVERSITY,79 NEW MONTGOMERY STREET,SAN FRANCISCO,CA,CALIFORNIA,94105,3410,3,PrivateForProfit,2013,358,5164,6.9,2012,573,5163,11,2011,682,4691,14.5
41269,ACADEMY OF CAREER TRAINING,3501 W VINE STREET SUITE 111,KISSIMMEE,FL,FLORIDA,34741,4644,3,PrivateForProfit,2013,15,130,11.5,2012,24,127,18.8,2011,29,103,28.1
32883,ACADEMY OF CHINESE CULTURE AND HEALTH SCIENCES,1600 BROADWAY,OAKLAND,CA,CALIFORNIA,94612,2168,2,PrivateNonProfit,2013,4,30,13.3,2012,1,59,1.6,2011,4,75,5.3
41186,ACADEMY OF COSMETOLOGY,2310 WEST COURT STREET,JANESVILLE,WI,WISCONSIN,53548,3307,3,PrivateForProfit,2013,10,33,30.3,2012,8,46,17.3,2011,24,102,23.5
24990,ACADEMY OF COSMETOLOGY,2088 N. COURTENAY PARKWAY,MERRITT ISLAND,FL,FLORIDA,32953,3311,3,PrivateForProfit,2013,26,148,17.5,2012,29,128,22.6,2011,22,140,15.7
26213,ACADEMY OF COSMETOLOGY,133 WEST MENDENHALL STREET,BOZEMAN,MT,MONTANA,59715,3544,3,PrivateForProfit,2013,5,47,10.6,2012,5,46,10.8,2011,4,41,9.7
41560,ACADEMY OF COSMETOLOGY & ESTHETICS NYC (THE),187 NEW DORP LANE,STATEN ISLAND,NY,NEW YORK,10306,3003,3,PrivateForProfit,2013,16,93,17.2,2012,7,89,7.8,2011,1,24,4.1
