YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAXI_IN,TAXI_OUT,DISTANCE
2015,8,19,3,EV,3260,7.0,20.0,1091
2015,9,23,3,WN,3050,4.0,9.0,837
2015,10,16,5,AA,1382,13.0,25.0,761
2015,1,19,1,WN,4274,5.0,23.0,1547
2015,4,22,3,WN,2237,5.0,18.0,872
2015,6,15,1,EV,3924,7.0,22.0,191
2015,9,20,7,HA,21,14.0,15.0,2677
2015,7,16,4,WN,172,30.0,9.0,451
2015,3,16,1,US,1735,7.0,16.0,1916
2015,9,25,5,WN,274,5.0,14.0,337
2015,4,27,1,UA,1755,11.0,19.0,2704
2015,10,21,3,MQ,3199,7.0,23.0,234
2015,6,8,1,EV,5110,7.0,40.0,430
2015,9,28,1,EV,4976,11.0,12.0,363
2015,4,15,3,DL,1374,7.0,17.0,588
2015,5,20,3,OO,6380,4.0,39.0,262
2015,3,7,6,US,1946,6.0,13.0,912
2015,12,29,2,UA,1285,7.0,14.0,862
2015,11,10,2,AS,103,4.0,11.0,1448
2015,3,9,1,AA,1677,9.0,17.0,432
2015,7,29,3,B6,687,6.0,25.0,2611
2015,5,2,6,UA,589,10.0,20.0,925
2015,11,11,3,DL,1385,2.0,11.0,311
2015,9,1,2,B6,1668,4.0,11.0,818
2015,6,29,1,OO,2883,4.0,14.0,109
2015,5,11,1,WN,674,10.0,8.0,1011
2015,10,30,5,AS,563,10.0,22.0,834
2015,8,10,1,AS,347,6.0,8.0,672
2015,11,18,3,OO,4525,6.0,18.0,237
2015,7,31,5,VX,730,5.0,10.0,1184
2015,9,30,3,WN,3228,7.0,11.0,481
2015,1,13,2,HA,192,6.0,14.0,216
2015,4,19,7,WN,2749,4.0,11.0,345
2015,8,4,2,DL,2318,4.0,46.0,874
2015,2,12,4,UA,1244,10.0,11.0,2454
2015,1,10,6,UA,1721,5.0,10.0,967
2015,5,12,2,WN,553,4.0,25.0,319
2015,9,8,2,OO,5367,4.0,27.0,86
2015,4,11,6,WN,2664,14.0,11.0,1073
2015,2,6,5,DL,2009,5.0,15.0,680
2015,9,28,1,DL,1805,9.0,13.0,457
2015,6,26,5,F9,719,16.0,41.0,1476
2015,5,5,2,EV,6175,12.0,17.0,179
2015,6,12,5,AA,2411,8.0,20.0,2585
2015,1,24,6,B6,684,11.0,31.0,944
2015,3,18,3,WN,424,1.0,7.0,1313
2015,7,24,5,WN,664,3.0,7.0,405
2015,6,1,1,DL,2319,3.0,25.0,1020
2015,12,3,4,UA,2000,14.0,9.0,1440
2015,7,11,6,UA,770,4.0,14.0,1400
2015,10,2,5,UA,1940,6.0,14.0,2007
2015,11,13,5,B6,482,2.0,9.0,892
2015,8,24,1,F9,657,10.0,26.0,967
