DEPARTURE_DATETIME,AIRLINE,DAY_OF_WEEK,DISTANCE,AIR_TIME,TAXI_IN,TAXI_OUT,DEPARTURE_DELAY
2015-01-01 06:26:00,OO,4,483,73.0,10.0,21.0,4.0
2015-01-01 06:55:00,NK,4,977,132.0,7.0,22.0,-5.0
2015-01-01 08:07:00,WN,4,220,55.0,3.0,10.0,-3.0
2015-01-01 08:43:00,UA,4,1120,138.0,3.0,14.0,3.0
2015-01-01 09:44:00,WN,4,1123,179.0,7.0,7.0,-1.0
2015-01-01 10:00:00,AA,4,460,81.0,11.0,20.0,20.0
2015-01-01 10:08:00,EV,4,1048,120.0,6.0,34.0,5.0
2015-01-01 10:54:00,AA,4,2174,239.0,33.0,15.0,-6.0
2015-01-01 14:52:00,WN,4,763,114.0,3.0,17.0,137.0
2015-01-01 15:07:00,B6,4,989,139.0,4.0,38.0,-13.0
2015-01-01 16:41:00,US,4,2125,287.0,10.0,13.0,1.0
2015-01-01 18:46:00,OO,4,373,60.0,13.0,14.0,13.0
2015-01-01 18:53:00,DL,4,404,61.0,8.0,18.0,-2.0
2015-01-01 18:57:00,EV,4,201,57.0,7.0,13.0,-1.0
2015-01-01 19:15:00,EV,4,1042,128.0,7.0,29.0,15.0
2015-01-02 05:59:00,AA,5,550,100.0,5.0,23.0,-6.0
2015-01-02 06:09:00,OO,5,809,118.0,13.0,25.0,-6.0
2015-01-02 07:16:00,VX,5,1476,191.0,3.0,13.0,-4.0
2015-01-02 07:18:00,DL,5,1590,220.0,7.0,11.0,-2.0
2015-01-02 08:38:00,B6,5,1028,126.0,7.0,11.0,-7.0
2015-01-02 08:53:00,DL,5,235,43.0,6.0,21.0,-2.0
2015-01-02 09:02:00,NK,5,674,107.0,7.0,12.0,32.0
2015-01-02 09:12:00,NK,5,1299,158.0,6.0,14.0,6.0
2015-01-02 09:59:00,VX,5,2419,339.0,4.0,10.0,-1.0
2015-01-02 10:11:00,DL,5,1454,188.0,4.0,11.0,1.0
2015-01-02 10:17:00,WN,5,802,107.0,5.0,33.0,17.0
2015-01-02 11:12:00,OO,5,199,41.0,6.0,13.0,-2.0
2015-01-02 11:47:00,VX,5,1381,215.0,5.0,11.0,-8.0
2015-01-02 11:57:00,WN,5,1050,159.0,5.0,10.0,2.0
2015-01-02 12:02:00,UA,5,719,85.0,10.0,24.0,2.0
2015-01-02 12:05:00,OO,5,235,48.0,10.0,14.0,-5.0
2015-01-02 14:07:00,OO,5,184,38.0,2.0,15.0,22.0
2015-01-02 14:18:00,WN,5,882,116.0,11.0,11.0,18.0
2015-01-02 14:28:00,OO,5,261,41.0,6.0,21.0,-7.0
