date,low_temp,high_temp,precipitation,snowfall,snowdepth,avgwindspeed,fog,mist,rain,ice,snow,freezingrain,thunder,highwind,hail
1/1/15,23.2,51.1,0,0,0,4.7,No,No,No,No,No,No,No,No,No
1/2/15,41,54,0,0,0,2.91,No,No,No,No,No,No,No,No,No
1/3/15,46,51.1,0.16,0,0,3.8,Yes,No,No,No,No,No,No,No,No
1/4/15,48.9,69.1,0.29,0,0,10.07,Yes,No,No,No,No,No,No,No,No
1/5/15,32,55.9,0,0,0,5.37,No,No,No,No,No,No,No,No,No
1/6/15,26.2,55,0,0,0,4.7,No,No,No,No,No,No,No,No,No
1/7/15,16.2,39,0,0,0,6.26,No,No,No,No,No,No,No,No,No
1/8/15,11.1,27.1,0,0,0,5.37,No,No,No,No,No,No,No,No,No
1/9/15,22.1,45,0,0,0,8.28,No,No,No,No,No,No,No,No,No
1/10/15,22.1,39,0,0,0,1.57,No,No,No,No,No,No,No,No,No
1/11/15,17.2,48.9,0,0,0,0.89,No,No,No,No,No,No,No,No,No
1/12/15,36,48,1.29,0,0,2.01,Yes,No,No,No,No,No,No,No,No
1/13/15,31.1,44.1,0.03,0,0,11.41,Yes,No,No,No,No,No,No,No,No
1/14/15,28.2,33.1,0.01,0,0,4.92,Yes,No,No,No,No,No,No,No,No
1/15/15,31.1,41,0,0,0,3.13,Yes,No,No,No,No,No,No,No,No
1/16/15,30.2,53.1,0,0,0,3.58,Yes,No,No,No,No,No,No,No,No
1/17/15,27.1,51.1,0,0,0,4.7,No,No,No,No,No,No,No,No,No
1/18/15,41,60.1,0.49,0,0,5.37,Yes,No,No,No,No,No,No,No,No
1/19/15,31.1,63,0,0,0,5.14,No,No,No,No,No,No,No,No,No
1/20/15,39,66.9,0,0,0,6.26,No,No,No,No,No,No,No,No,No
1/21/15,36,54,0,0,0,4.92,No,No,No,No,No,No,No,No,No
1/22/15,30.2,59,0,0,0,2.91,Yes,No,No,No,No,No,No,No,No
1/23/15,35.1,41,0.67,0,0,6.93,Yes,No,No,No,No,No,No,No,No
1/24/15,35.1,48.9,0.14,0,0,5.82,Yes,No,No,No,No,No,No,No,No
1/25/15,29.1,55,0,0,0,4.7,No,No,No,No,No,No,No,No,No
1/26/15,37.9,50,0.24,0,0,2.91,Yes,No,No,No,No,No,No,No,No
1/27/15,30.2,44.1,0.01,0,0,5.14,Yes,No,No,No,No,No,No,No,No
1/28/15,25.2,46,0,0,0,2.91,No,No,No,No,No,No,No,No,No
1/29/15,23.2,46.9,0.02,0,0,4.7,Yes,No,No,Yes,No,No,No,No,No
1/30/15,29.1,48,0,0,0,8.05,No,No,No,No,No,No,No,No,No
1/31/15,22.1,48,0,0,0,2.46,No,No,No,No,No,No,No,No,No
2/1/15,32,57,0,0,0,6.71,No,No,No,No,No,No,No,No,No
2/2/15,29.1,62.1,0.39,0,0,13.42,Yes,No,No,No,No,No,No,No,No
2/3/15,22.1,45,0,0,0,3.36,No,No,No,No,No,No,No,No,No
2/4/15,25.2,54,0,0,0,6.04,No,No,No,No,No,No,No,No,No
2/5/15,27.1,50,0,0,0,6.26,No,No,No,No,No,No,No,No,No
2/6/15,17.2,42.1,0,0,0,4.25,No,No,No,No,No,No,No,No,No
2/7/15,26.2,60.1,0,0,0,8.28,No,No,No,No,No,No,No,No,No
2/8/15,39,72,0,0,0,14.09,No,No,No,No,No,No,No,No,No
2/9/15,45,62.1,0.4,0,0,6.04,Yes,No,No,No,No,No,Yes,No,No
2/10/15,36,45,0.17,0,0,10.96,Yes,No,No,No,No,No,No,No,No
2/11/15,30.2,51.1,0,0,0,4.92,No,No,No,No,No,No,No,No,No
2/12/15,29.1,54,0,0,0,5.59,No,No,No,No,No,No,No,No,No
2/13/15,23.2,35.1,0,0,0,4.92,No,No,No,No,No,No,No,No,No
2/14/15,22.1,53.1,0,0,0,11.18,Yes,No,No,No,No,No,No,No,No
2/15/15,15.3,29.1,0,0,0,9.4,No,No,No,No,No,No,No,No,No
2/16/15,19.2,27.1,0.22,0.31,0,6.26,Yes,No,No,Yes,No,No,No,No,No
2/17/15,19.2,35.1,0.39,0.71,1.18,4.7,Yes,No,No,Yes,No,No,No,No,No
2/18/15,19.2,39.9,0.06,0.39,0,6.04,Yes,No,No,No,No,No,No,No,No
2/19/15,12.2,23.2,0,0,0,8.5,No,No,No,No,No,No,No,No,No
2/20/15,7.2,26.2,0,0,0,5.59,No,No,No,No,No,No,No,No,No
2/21/15,18.1,39.9,0,0,0,3.36,Yes,No,No,No,No,No,No,No,No
2/22/15,34,57,0.08,0,0,2.46,Yes,No,No,No,No,No,No,No,No
2/23/15,30.2,46.9,0.03,0,0,7.38,Yes,No,No,No,No,No,No,No,No
2/24/15,19.2,30.2,0.09,1.42,0,4.47,Yes,No,No,No,No,No,No,No,No
2/25/15,18.1,46,0.36,1.89,1.18,4.25,Yes,No,No,Yes,No,No,No,No,No
2/26/15,28.2,35.1,0.72,3.19,3.94,6.26,Yes,No,No,Yes,No,No,No,No,No
2/27/15,23.2,45,0,0,3.15,3.13,Yes,No,No,No,No,No,No,No,No
2/28/15,26.2,37,0,0,1.18,6.93,No,No,No,No,No,No,No,No,No
3/1/15,28.2,35.1,0.67,0,1.18,3.58,Yes,No,No,No,No,No,No,No,No
3/2/15,34,61,0,0,0,4.92,Yes,No,No,No,No,No,No,No,No
3/3/15,35.1,43,0.07,0,0,5.37,Yes,No,No,No,No,No,No,No,No
3/4/15,37.9,75,0.02,0,0,13.87,Yes,No,No,No,No,No,No,No,No
3/5/15,32,66,0.97,0,0,10.51,Yes,No,No,No,No,No,No,No,No
3/6/15,24.3,37,0,0,0,5.82,No,No,No,No,No,No,No,No,No
3/7/15,20.1,57.9,0,0,0,6.04,No,No,No,No,No,No,No,No,No
3/8/15,35.1,71.1,0,0,0,4.92,No,No,No,No,No,No,No,No,No
3/9/15,48,64.9,0,0,0,3.8,No,No,No,No,No,No,No,No,No
3/10/15,50,75,0,0,0,6.93,No,No,No,No,No,No,No,No,No
3/11/15,59,75.9,0.11,0,0,5.14,Yes,No,No,No,No,No,No,No,No
3/12/15,48.9,66,0,0,0,7.83,No,No,No,No,No,No,No,No,No
3/13/15,42.1,53.1,0.02,0,0,4.92,No,No,No,No,No,No,No,No,No
3/14/15,45,62.1,0.3,0,0,4.7,Yes,No,No,No,No,No,No,No,No
3/15/15,48,73,0,0,0,6.26,Yes,No,No,No,No,No,No,No,No
3/16/15,41,80.1,0,0,0,4.92,No,No,No,No,No,No,No,No,No
3/17/15,46.9,82,0,0,0,6.04,No,No,No,No,No,No,No,No,No
3/18/15,39,60.1,0,0,0,4.7,No,No,No,No,No,No,No,No,No
3/19/15,39.9,54,0.34,0,0,4.92,Yes,No,No,No,No,No,No,No,No
3/20/15,39.9,51.1,0.31,0,0,3.36,Yes,No,No,No,No,No,No,No,No
3/21/15,39.9,64.9,0,0,0,3.36,Yes,No,No,No,No,No,No,No,No
3/22/15,46.9,66,0,0,0,4.25,Yes,No,No,No,No,No,No,No,No
3/23/15,43,57.9,0,0,0,8.5,No,No,No,No,No,No,No,No,No
3/24/15,36,66.9,0,0,0,5.14,No,No,No,No,No,No,No,No,No
3/25/15,46.9,66.9,0,0,0,4.03,No,No,No,No,No,No,No,No,No
3/26/15,57,75,0.13,0,0,10.51,Yes,No,No,No,No,No,Yes,No,No
3/27/15,39.9,66,0.18,0,0,8.28,Yes,No,No,No,No,No,No,No,No
3/28/15,32,46,0,0,0,6.26,No,No,No,No,No,No,No,No,No
